id,descripcion,imagen
6471720,"CAPE, NO. 82",https://www.lego.com/cdn/product-assets/element.img.photoreal.192x192/6471720.jpg
6472040,"Multipack (1x 6483833, 1x 6484008, 1x 6484019, 1x 6472042, 1x 6472040)",https://www.lego.com/cdn/product-assets/element.img.photoreal.192x192/6472040.jpg
6472042,"Multipack (1x 6483833, 1x 6484008, 1x 6484019, 1x 6472042, 1x 6472040)",https://www.lego.com/cdn/product-assets/element.img.photoreal.192x192/6472042.jpg
6473843,"PARABOLA 6X6, NO. 17",https://www.lego.com/cdn/product-assets/element.img.photoreal.192x192/6473843.jpg
6475073,"FLAT TILE 1X6, NO. 42",https://www.lego.com/cdn/product-assets/element.img.photoreal.192x192/6475073.jpg
6475528,"PUNCHING FOIL SHEET, NO. 86",https://www.lego.com/cdn/product-assets/element.img.photoreal.192x192/6475528.jpg
6475767,"BUTTERFLY, NO. 6",https://www.lego.com/cdn/product-assets/element.img.photoreal.192x192/6475767.jpg
6475768,"FLAT TILE 2X4, NO. 326",https://www.lego.com/cdn/product-assets/element.img.photoreal.192x192/6475768.jpg
6507075,"ROUND PLATE, DIA. 32X6.4, NO. 55",https://www.lego.com/cdn/product-assets/element.img.photoreal.192x192/6507075.jpg
6476618,"TURTLE, W/ 1.5 HOLE, NO. 16",https://www.lego.com/cdn/product-assets/element.img.photoreal.192x192/6476618.jpg
6476620,"FLAT TILE 1X2, NO. 416",https://www.lego.com/cdn/product-assets/element.img.photoreal.192x192/6476620.jpg
6476634,"DOLPHIN, NO. 5",https://www.lego.com/cdn/product-assets/element.img.photoreal.192x192/6476634.jpg
6476635,"FLAT TILE 2X2, ROUND, W/ HOLE, NO. 10",https://www.lego.com/cdn/product-assets/element.img.photoreal.192x192/6476635.jpg
6477195,"BIG CAT, NO. 8",https://www.lego.com/cdn/product-assets/element.img.photoreal.192x192/6477195.jpg
6478190,"PUNCHING FOIL SHEET, NO. 88",https://www.lego.com/cdn/product-assets/element.img.photoreal.192x192/6478190.jpg
6478257,"FOX, W/ HOLE, DIA. 1.5, NO. 11",https://www.lego.com/cdn/product-assets/element.img.photoreal.192x192/6478257.jpg
6478262,"BEAR, SITTING, W/ HOLE 1.5, NO. 9",https://www.lego.com/cdn/product-assets/element.img.photoreal.192x192/6478262.jpg
6478263,"FLAT TILE 1X1, ROUND, NO. 287",https://www.lego.com/cdn/product-assets/element.img.photoreal.192x192/6478263.jpg
6480738,"FLAT TILE 2X4, NO. 333",https://www.lego.com/cdn/product-assets/element.img.photoreal.192x192/6480738.jpg
6480739,"FLAT TILE 1X6, NO. 45",https://www.lego.com/cdn/product-assets/element.img.photoreal.192x192/6480739.jpg
6480745,"FLAT TILE 2X4, NO. 336",https://www.lego.com/cdn/product-assets/element.img.photoreal.192x192/6480745.jpg
6480750,"FLAT TILE 2X4, NO. 343",https://www.lego.com/cdn/product-assets/element.img.photoreal.192x192/6480750.jpg
6480752,"FLAT TILE 2X2, NO. 715",https://www.lego.com/cdn/product-assets/element.img.photoreal.192x192/6480752.jpg
6480846,"FLAT TILE 2X2, NO. 711",https://www.lego.com/cdn/product-assets/element.img.photoreal.192x192/6480846.jpg
6480850,"FLAT TILE 2X2, NO. 713",https://www.lego.com/cdn/product-assets/element.img.photoreal.192x192/6480850.jpg
6480859,"FLAT TILE 8X16, NO. 24",https://www.lego.com/cdn/product-assets/element.img.photoreal.192x192/6480859.jpg
6480860,"FLAT TILE 8X16, NO. 25",https://www.lego.com/cdn/product-assets/element.img.photoreal.192x192/6480860.jpg
6480861,"FLAT TILE 8X16, NO. 26",https://www.lego.com/cdn/product-assets/element.img.photoreal.192x192/6480861.jpg
6480862,"TILE 4X4, NO. 5",https://www.lego.com/cdn/product-assets/element.img.photoreal.192x192/6480862.jpg
6480863,"FLAT TILE 2X3, NO. 143",https://www.lego.com/cdn/product-assets/element.img.photoreal.192x192/6480863.jpg
6480865,"FLAT TILE 1X2, NO. 430",https://www.lego.com/cdn/product-assets/element.img.photoreal.192x192/6480865.jpg
6480866,"FLAT TILE 2X2, NO. 720",https://www.lego.com/cdn/product-assets/element.img.photoreal.192x192/6480866.jpg
6480947,"DOG, NO. 68",https://www.lego.com/cdn/product-assets/element.img.photoreal.192x192/6480947.jpg
6480961,"BEAVER, W/ 1.5 HOLE, NO. 2",https://www.lego.com/cdn/product-assets/element.img.photoreal.192x192/6480961.jpg
6480962,"OWL, NO. 22",https://www.lego.com/cdn/product-assets/element.img.photoreal.192x192/6480962.jpg
6480963,"FLAT TILE 1X1, ROUND, NO. 296",https://www.lego.com/cdn/product-assets/element.img.photoreal.192x192/6480963.jpg
6481113,"APE, NO. 4",https://www.lego.com/cdn/product-assets/element.img.photoreal.192x192/6481113.jpg
6481598,"FLAT TILE 1X1, ROUND, NO. 329",https://www.lego.com/cdn/product-assets/element.img.photoreal.192x192/6481598.jpg
6481599,"FLAT TILE 2X2, NO. 736",https://www.lego.com/cdn/product-assets/element.img.photoreal.192x192/6481599.jpg
6481601,"GUINEA PIG, W/ 1.5 HOLE, NO. 2",https://www.lego.com/cdn/product-assets/element.img.photoreal.192x192/6481601.jpg
